learner_key,study_schedule,prior_lms_experience,week,event_count,active_days,material_views,quiz_attempts,assignments_due,assignments_submitted,assignments_on_time,late_submissions,avg_score,forum_posts,support_request
S028,daytime,low,6,31,4,14,2,1,1,1,0,80,0,0
S029,daytime,low,1,23,3,10,1,1,1,1,0,75,3,0
S029,daytime,low,2,26,5,12,2,1,1,1,0,77,1,0
S029,daytime,low,3,35,5,16,3,1,1,1,0,75,3,0
S029,daytime,low,4,32,6,14,1,1,1,1,0,64,1,0
S029,daytime,low,5,26,4,12,2,1,1,1,0,66,3,0
S029,daytime,low,6,26,5,12,3,1,1,1,0,68,1,0
S030,evening,high,1,27,5,12,2,1,1,1,0,84,0,0
S030,evening,high,2,18,3,8,3,1,1,1,0,69,2,1
S030,evening,high,3,27,5,12,1,1,1,1,0,67,0,0
S030,evening,high,4,24,4,11,2,1,1,1,0,73,2,0
S030,evening,high,5,30,5,14,3,1,1,1,0,75,0,0
S030,evening,high,6,18,3,8,1,1,1,1,0,77,2,0
S031,daytime,high,1,22,3,10,3,1,1,0,1,72,1,0
S031,daytime,high,2,25,5,11,1,1,1,1,0,74,3,0
S031,daytime,high,3,34,5,15,2,1,1,0,1,72,1,0
S031,daytime,high,4,19,4,9,3,1,1,1,0,78,3,0
S031,daytime,high,5,25,4,11,1,1,1,0,1,80,1,0
S031,daytime,high,6,25,5,11,2,1,1,1,0,82,3,0
S032,daytime,low,1,32,6,14,1,1,1,1,0,73,2,1
S032,daytime,low,2,23,3,10,2,1,1,1,0,75,0,0
S032,daytime,low,3,32,6,14,3,1,1,1,0,73,2,0
S032,daytime,low,4,29,4,13,1,1,1,1,0,79,0,0
S032,daytime,low,5,35,6,16,2,1,1,1,0,64,2,0
S032,daytime,low,6,23,3,10,3,1,1,1,0,66,0,0
S033,evening,low,1,17,3,8,2,1,1,1,0,90,3,0
S033,evening,low,2,20,4,9,3,1,1,1,0,92,1,0
S033,evening,low,3,17,3,8,1,1,1,1,0,73,3,0
S033,evening,low,4,14,3,6,2,1,1,1,0,79,1,0
S033,evening,low,5,20,3,9,3,1,1,1,0,81,3,0
S033,evening,low,6,20,4,9,1,1,1,1,0,83,1,0
S034,daytime,high,1,19,4,9,3,1,1,1,0,70,0,0
S034,daytime,high,2,22,3,10,1,1,1,1,0,72,2,0
S034,daytime,high,3,31,5,14,2,1,1,0,1,70,0,0
S034,daytime,high,4,28,4,13,3,1,1,1,0,76,2,0
S034,daytime,high,5,22,4,10,1,1,1,1,0,78,0,0
S034,daytime,high,6,22,3,10,2,1,1,1,0,80,2,0
S035,daytime,high,1,26,4,12,1,1,1,1,0,75,1,0
S035,daytime,high,2,29,5,13,2,1,1,1,0,77,3,0
S035,daytime,high,3,26,4,12,3,1,1,1,0,75,1,0
S035,daytime,high,4,23,4,10,1,1,1,1,0,81,3,0
S035,daytime,high,5,29,4,13,2,1,1,1,0,83,1,0
S035,daytime,high,6,29,5,13,3,1,1,1,0,68,3,0
S036,evening,low,1,24,5,11,2,1,1,1,0,76,2,0
S036,evening,low,2,27,4,12,3,1,1,0,1,78,0,0
S036,evening,low,3,36,6,16,1,1,1,1,0,76,2,0
S036,evening,low,4,21,3,9,2,1,1,0,1,65,0,0
S036,evening,low,5,27,5,12,3,1,1,1,0,67,2,0
S036,evening,low,6,27,4,12,1,1,1,0,1,69,0,0
S037,daytime,low,1,31,4,14,3,1,1,1,0,64,3,0
S037,daytime,low,2,22,4,10,1,1,1,1,0,66,1,0
S037,daytime,low,3,31,4,14,2,1,1,0,1,64,3,0
S037,daytime,low,4,28,5,13,3,1,1,1,0,70,1,0
S037,daytime,low,5,34,5,15,1,1,1,1,0,72,3,0
S037,daytime,low,6,22,4,10,2,1,1,1,0,74,1,0
S038,daytime,high,1,23,4,10,1,1,1,0,1,73,0,0
S038,daytime,high,2,26,4,12,2,1,1,1,0,75,2,0
S038,daytime,high,3,35,6,16,3,1,1,0,1,73,0,0
S038,daytime,high,4,20,3,9,1,1,1,1,0,79,2,0
S038,daytime,high,5,26,5,12,2,1,0,0,0,81,0,0
S038,daytime,high,6,26,4,12,3,1,1,1,0,83,2,0
S039,evening,high,1,30,4,14,2,1,1,1,0,60,1,0
S039,evening,high,2,33,6,15,3,1,1,1,0,62,3,1
S039,evening,high,3,42,6,19,1,1,1,0,1,60,1,1
S039,evening,high,4,39,6,18,2,1,1,0,1,66,3,1
S039,evening,high,5,33,5,15,3,1,1,0,1,51,1,1
S039,evening,high,6,33,6,15,1,1,1,1,0,53,3,1
S040,daytime,low,1,28,5,13,3,1,1,1,0,79,2,0
S040,daytime,low,2,31,4,14,1,1,1,1,0,64,0,0
S040,daytime,low,3,28,5,13,2,1,1,1,0,62,2,0
S040,daytime,low,4,25,4,11,3,1,1,1,0,68,0,0
S040,daytime,low,5,31,5,14,1,1,1,1,0,70,2,0
S040,daytime,low,6,31,4,14,2,1,1,1,0,72,0,0
S041,daytime,low,1,23,3,10,1,1,1,0,1,67,3,0
S041,daytime,low,2,26,5,12,2,1,1,1,0,69,1,0
S041,daytime,low,3,35,5,16,3,1,1,0,1,67,3,0
S041,daytime,low,4,32,6,14,1,1,1,1,0,73,1,0
S041,daytime,low,5,26,4,12,2,1,1,0,1,75,3,1
S041,daytime,low,6,26,5,12,3,1,1,1,0,77,1,0
S042,evening,high,1,27,5,12,2,1,1,1,0,76,0,0
S042,evening,high,2,18,3,8,3,1,1,1,0,78,2,0
S042,evening,high,3,27,5,12,1,1,1,1,0,76,0,0
S042,evening,high,4,24,4,11,2,1,1,1,0,82,2,0
S042,evening,high,5,30,5,14,3,1,1,1,0,84,0,0
S042,evening,high,6,18,3,8,1,1,1,1,0,69,2,0
S043,daytime,high,1,22,3,10,3,1,1,1,0,81,1,0
S043,daytime,high,2,25,5,11,1,1,1,0,1,83,3,0
S043,daytime,high,3,34,5,15,2,1,1,1,0,64,1,0
S043,daytime,high,4,19,4,9,3,1,0,0,0,70,3,1
S043,daytime,high,5,25,4,11,1,1,1,1,0,72,1,0
S043,daytime,high,6,25,5,11,2,1,0,0,0,74,3,0
S044,daytime,low,1,22,4,10,1,1,1,1,0,77,2,0
S044,daytime,low,2,13,2,6,2,1,1,1,0,79,0,0
S044,daytime,low,3,22,4,10,3,1,1,1,0,77,2,0
S044,daytime,low,4,19,3,9,1,1,1,1,0,83,0,0
S044,daytime,low,5,25,5,11,2,1,1,1,0,85,2,0
S044,daytime,low,6,13,2,6,3,1,1,1,0,87,0,0
S045,evening,low,1,27,4,12,2,1,1,1,0,70,3,0
S045,evening,low,2,30,5,14,3,1,1,1,0,72,1,0
S045,evening,low,3,27,4,12,1,1,1,1,0,70,3,1
S045,evening,low,4,24,5,11,2,1,1,1,0,76,1,0
S045,evening,low,5,30,4,14,3,1,1,1,0,78,3,0
S045,evening,low,6,30,5,14,1,1,1,1,0,80,1,0
S046,daytime,high,1,19,4,9,3,1,1,1,0,79,0,0
S046,daytime,high,2,22,3,10,1,1,1,0,1,81,2,0
S046,daytime,high,3,31,5,14,2,1,1,1,0,79,0,0
S046,daytime,high,4,28,4,13,3,1,1,0,1,68,2,0
S046,daytime,high,5,22,4,10,1,1,1,1,0,70,0,0
S046,daytime,high,6,22,3,10,2,1,1,0,1,72,2,0
S047,daytime,high,1,26,4,12,1,1,1,1,0,84,1,0
S047,daytime,high,2,29,5,13,2,1,1,1,0,69,3,1
S047,daytime,high,3,26,4,12,3,1,1,0,1,67,1,0
S047,daytime,high,4,23,4,10,1,1,1,1,0,73,3,0
S047,daytime,high,5,29,4,13,2,1,1,1,0,75,1,0
S047,daytime,high,6,29,5,13,3,1,1,1,0,77,3,0
S048,evening,low,1,24,5,11,2,1,1,0,1,68,2,0
S048,evening,low,2,27,4,12,3,1,1,1,0,70,0,0
S048,evening,low,3,36,6,16,1,1,1,0,1,68,2,0
S048,evening,low,4,21,3,9,2,1,1,1,0,74,0,0
S048,evening,low,5,27,5,12,3,1,0,0,0,76,2,0
S048,evening,low,6,27,4,12,1,1,1,1,0,78,0,0
S049,daytime,low,1,31,4,14,3,1,1,1,0,73,3,1
S049,daytime,low,2,22,4,10,1,1,1,1,0,75,1,0
S049,daytime,low,3,31,4,14,2,1,1,1,0,73,3,0
S049,daytime,low,4,28,5,13,3,1,1,1,0,79,1,0
S049,daytime,low,5,34,5,15,1,1,1,1,0,64,3,0
S049,daytime,low,6,22,4,10,2,1,1,1,0,66,1,0
S050,daytime,high,1,23,4,10,1,1,1,1,0,82,0,0
S050,daytime,high,2,26,4,12,2,1,1,1,0,84,2,0
S050,daytime,high,3,35,6,16,3,1,1,1,0,65,0,0
S050,daytime,high,4,20,3,9,1,1,1,1,0,71,2,0
S050,daytime,high,5,26,5,12,2,1,1,1,0,73,0,0
S050,daytime,high,6,26,4,12,3,1,1,1,0,75,2,0
S051,evening,high,1,18,3,8,2,1,1,0,1,70,1,0
S051,evening,high,2,21,4,9,3,1,1,1,0,72,3,0
S051,evening,high,3,30,4,14,1,1,1,0,1,70,1,0
S051,evening,high,4,27,5,12,2,1,1,1,0,76,3,0
S051,evening,high,5,21,3,9,3,1,1,0,1,78,1,0
S051,evening,high,6,21,4,9,1,1,1,1,0,80,3,0
S052,daytime,low,1,40,6,18,3,1,1,1,0,53,2,0
S052,daytime,low,2,43,6,19,1,1,1,1,0,55,0,1
S052,daytime,low,3,40,6,18,2,1,1,0,1,53,2,1
S052,daytime,low,4,37,5,17,3,1,1,0,1,59,0,1
S052,daytime,low,5,43,6,19,1,1,1,0,1,61,2,1
S052,daytime,low,6,43,6,19,2,1,1,1,0,46,0,1
S053,daytime,low,1,23,3,10,1,1,1,1,0,76,3,0
S053,daytime,low,2,26,5,12,2,1,1,0,1,78,1,0
S053,daytime,low,3,35,5,16,3,1,1,1,0,76,3,0
S053,daytime,low,4,32,6,14,1,1,0,0,0,65,1,0
S053,daytime,low,5,26,4,12,2,1,1,1,0,67,3,0
S053,daytime,low,6,26,5,12,3,1,0,0,0,69,1,0
S054,evening,high,1,27,5,12,2,1,1,1,0,68,0,0
S054,evening,high,2,18,3,8,3,1,1,1,0,70,2,0
S054,evening,high,3,27,5,12,1,1,1,0,1,68,0,0
S054,evening,high,4,24,4,11,2,1,1,1,0,74,2,0
S054,evening,high,5,30,5,14,3,1,1,1,0,76,0,0
S054,evening,high,6,18,3,8,1,1,1,1,0,78,2,0
S055,daytime,high,1,12,2,5,3,1,1,1,0,85,1,0
S055,daytime,high,2,15,3,7,1,1,1,1,0,87,3,0
S055,daytime,high,3,24,4,11,2,1,1,1,0,85,1,0
S055,daytime,high,4,9,3,4,3,1,1,1,0,91,3,0
S055,daytime,high,5,15,2,7,1,1,1,1,0,93,1,0
S055,daytime,high,6,15,3,7,2,1,1,1,0,95,3,0
S056,daytime,low,1,32,6,14,1,1,1,1,0,74,2,0
S056,daytime,low,2,23,3,10,2,1,1,0,1,76,0,0
S056,daytime,low,3,32,6,14,3,1,1,1,0,74,2,0
S056,daytime,low,4,29,4,13,1,1,1,0,1,80,0,0
S056,daytime,low,5,35,6,16,2,1,1,1,0,65,2,0
S056,daytime,low,6,23,3,10,3,1,1,0,1,67,0,1
S057,evening,low,1,27,4,12,2,1,1,1,0,79,3,0
S057,evening,low,2,30,5,14,3,1,1,1,0,64,1,0
S057,evening,low,3,27,4,12,1,1,1,0,1,62,3,0
S057,evening,low,4,24,5,11,2,1,1,1,0,68,1,0
S057,evening,low,5,30,4,14,3,1,1,1,0,70,3,0
S057,evening,low,6,30,5,14,1,1,1,1,0,72,1,0
S058,daytime,high,1,19,4,9,3,1,1,0,1,71,0,0
S058,daytime,high,2,22,3,10,1,1,1,1,0,73,2,0
S058,daytime,high,3,31,5,14,2,1,1,0,1,71,0,0
S058,daytime,high,4,28,4,13,3,1,1,1,0,77,2,0
S058,daytime,high,5,22,4,10,1,1,0,0,0,79,0,1
S058,daytime,high,6,22,3,10,2,1,1,1,0,81,2,0
S059,daytime,high,1,26,4,12,1,1,1,1,0,76,1,0
S059,daytime,high,2,29,5,13,2,1,1,1,0,78,3,0
S059,daytime,high,3,26,4,12,3,1,1,1,0,76,1,0
S059,daytime,high,4,23,4,10,1,1,1,1,0,82,3,0
S059,daytime,high,5,29,4,13,2,1,1,1,0,84,1,0
S059,daytime,high,6,29,5,13,3,1,1,1,0,69,3,0
S060,evening,low,1,24,5,11,2,1,1,1,0,77,2,0
S060,evening,low,2,27,4,12,3,1,1,1,0,79,0,0
S060,evening,low,3,36,6,16,1,1,1,1,0,60,2,0
S060,evening,low,4,21,3,9,2,1,1,1,0,66,0,1
S060,evening,low,5,27,5,12,3,1,1,1,0,68,2,0
S060,evening,low,6,27,4,12,1,1,1,1,0,70,0,0
